NUMERO_ADITIVO;CODIGO_AQUISICAO;CODIGO_SOLICITACAO_AQUISICAO;NUMERO_PROCESSO_AQUISICAO;OBJETO_AQUISICAO;TIPO_AQUISICAO;CNPJ_CONTRATANTE;CPF_CONTRATANTE;NOME_CONTRATADO;RAZAO_SOCIAL_CONTRATADO;ANO_CONTRATO;NUMERO_CONTRATO;FIM_VIGENCIA;INICIO_VIGENCIA;NOME_ORGAO;SIGLA_ORGAO;VALOR_AQUISICAO;VALOR_ADITIVO;VALOR_MENSAL_ADITIVO;VALOR_MENSAL_CONTRATO;ANOMES_INICIO_VIGENCIA
0;151206;0.0;202110319000107;"Contratação de empresa especializada na prestação de serviços de sanitização e desinfecção química (combate agentes patogênicos como bactérias, ácaros, fungos e vírus) à serem executados sob demanda, em até duas aplicações mensais, quando necessário  a segunda aplicação, nas áreas internas das Unidades Administrativas, Operacionais e do Sistema Socioeducativo do Estado de Goiás, pertencentes a Secretaria de Estado de Desenvolvimento Social, incluindo o fornecimento de mão-de-obra especializada, materiais, produtos de limpeza e os equipamentos necessários, pelos próximos 12 (doze) meses.";CONTRATO;00000000000000;-1000000000;"Não se aplica";"Não se aplica";2021;06;2022-06-29T00:00:00.000-03:00;2021-06-30T00:00:00.000-03:00;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";SEDS;26792.88;0.0;0.0;2232.7400000000002;202106
0;151209;0.0;202110319000107;"ontratação de empresa especializada na prestação de serviços de sanitização e desinfecção química (combate agentes patogênicos como bactérias, ácaros, fungos e vírus) à serem executados sob demanda, em até duas aplicações mensais, quando necessário  a segunda aplicação, nas áreas internas das Unidades Administrativas, Operacionais e do Sistema Socioeducativo do Estado de Goiás, pertencentes a Secretaria de Estado de Desenvolvimento Social, incluindo o fornecimento de mão-de-obra especializada, materiais, produtos de limpeza e os equipamentos necessários, pelos próximos 12 (doze) meses.";CONTRATO;08264064000101;-1000000000;"Não se aplica";"TERRA FORTE CONTROLE DE PRAGAS LTDA";2021;07;2022-06-29T00:00:00.000-03:00;2021-06-30T00:00:00.000-03:00;"SECRETARIA DE ESTADO DE DESENVOLVIMENTO SOCIAL";SEDS;197494.80000000002;0.0;0.0;0.0;202106
0;151205;0.0;202100006032941;"Contratação de empresa para o fornecimento de EPI's (Equipamentos de Proteção Individual) EPC's (Equipamentos de Proteção Coletiva), no intuito da proteção e prevenção da Pandemia do novo coronavírus, chamado de Sars-Cov-2, atendendo assim as necessidades das Unidades Escolares e demais dependências vinculadas à Secretaria de Estado da Educação.";CONTRATO;10907265000121;-1000000000;"Não se aplica";"SUPORTE COMERCIAL ATACADISTA LTDA EPP";2021;00059;2022-06-28T00:00:00.000-03:00;2021-06-29T00:00:00.000-03:00;"SECRETARIA DE ESTADO DA EDUCAÇÃO";SEDUC;60115.75;0.0;0.0;0.0;202106
0;150613;0.0;202117604002211;"Aquisição de material de consumo (cartão PVC, cordão, e fita de impressão), visando a confecção de crachás para os servidores da Secretaria de Estado de Indústria, Comércio e Serviços.";"DISPENSA DE LICITAÇÃO";15582483000157;-1000000000;"Não se aplica";"NTECH ENGENHARIA LTDA ME";1900;0;2021-07-07T00:00:00.000-03:00;2021-06-08T00:00:00.000-03:00;"SECRETARIA DE ESTADO DE INDÚSTRIA, COMÉRCIO E SERVIÇOS";SIC;1349.4;0.0;0.0;0.0;202106
0;152056;0.0;202100066004048;"Assistencia tecnica e garantia de monitores";CONTRATO;03619767000515;-1000000000;"Não se aplica";"TORINO INFORMATICA LT";2021;13;2021-12-24T00:00:00.000-02:00;2021-06-25T00:00:00.000-03:00;"AGENCIA GOIANA DE DEFESA AGROPECUÁRIA - AGRODEFESA";AGRODEFESA;14240.0;0.0;0.0;0.0;202106
0;150277;0.0;202100024000454;"Contratação de empresa especializada no fornecimento de serviços técnicos na área de Tecnologia da Informação e Comunicação (TIC), para a demanda da Junta Comercial do Estado de Goiás - JUCEG, de acordo as condições e especificações constantes neste Contrato e no Termo de Referência e demais anexos do Edital de Licitação.";CONTRATO;24935454000112;-1000000000;"Não se aplica";"TELLUS S/A INFORMATICA E TELECOMUNICACOES";2021;008;2022-06-01T00:00:00.000-03:00;2021-06-02T00:00:00.000-03:00;"JUNTA COMERCIAL DO ESTADO DE GOIÁS - JUCEG";JUCEG;177700.0;0.0;0.0;0.0;202106
0;151916;0.0;201900017009583;"Contratação de empresa de Vigilancia armada  ´- Sede Praça Civíca";CONTRATO;24610153000119;-1000000000;"Não se aplica";"OFFICE SEGURANCA LTDA - EPP";2021;18;2022-06-25T00:00:00.000-03:00;2021-06-25T00:00:00.000-03:00;"SECRETARIA DE ESTADO DE MEIO AMBIENTE E DESENVOLVIMENTO SUSTENTÁVEL";SEMAD;319630.8;0.0;0.0;0.0;202106
0;151176;0.0;202100006032941;"Contratação de empresa para o fornecimento de EPI's (Equipamentos de Proteção Individual) EPC's (Equipamentos de Proteção Coletiva), no intuito da proteção e prevenção da Pandemia do novo coronavírus, chamado de Sars-Cov-2, atendendo assim as necessidades das Unidades Escolares e demais dependências vinculadas à Secretaria de Estado da Educação.";CONTRATO;34533426000122;-1000000000;"Não se aplica";"GESY SARAIVA DE GOIAS";2021;0016;2022-06-28T00:00:00.000-03:00;2021-06-29T00:00:00.000-03:00;"SECRETARIA DE ESTADO DA EDUCAÇÃO";SEDUC;32589.09;0.0;0.0;0.0;202106
0;151194;0.0;202000010031654;"Contratação de empresa para o fornecimento de equipamentos médico/hospitalares (Biombo Plumbífero e Avental Plumbífero), para fins de operação e funcionamento do Hospital Estadual do Centro-Norte Goiano, antigo Hospital Estadual e Maternidade de Uruaçu - HEMU.";CONTRATO;97533241000138;-1000000000;"Não se aplica";"M,H,M, DO COUTO - COMERCIAL - ME";2021;32;2023-06-28T00:00:00.000-03:00;2021-06-28T00:00:00.000-03:00;"SECRETARIA DE ESTADO DA SAÚDE";SES;14076.0;0.0;0.0;0.0;202106
0;151596;0.0;202100002014021;"Locação de veículo automotor (representação) pelo prazo de 20 (vinte) meses​, que entre si celebram o Estado de Goiás, através da Polícia Militar do Estado de Goiás (PMGO) e a empresa CS BRASIL FROTAS LTDA.";CONTRATO;00000000000000;-1000000000;"Não se aplica";"Não se aplica";2021;012;2022-03-02T00:00:00.000-03:00;2021-06-30T00:00:00.000-03:00;"POLÍCIA MILITAR";PM;46300.0;0.0;0.0;2315.0;202106
0;150973;0.0;202010892000340;"Objeto do presente contrato a contratação de serviço de clipping de matérias jornalísticas veiculadas em mídia impressa (jornais e revistas), mídia radiofônica, mídia televisiva (telejornais e programas de TV) e mídia digital (sites, blogues e redes sociais), e de monitoramento de redes sociais, gestão da informação e análise de conteúdo, com o objetivo de atender às necessidades da Defensoria Pública do Estado de Goiás.";CONTRATO;27691290000113;-1000000000;"Não se aplica";"CONTENT ASSESSORIA LTDA - ME";2021;013;2022-06-16T00:00:00.000-03:00;2021-06-17T00:00:00.000-03:00;"DEFENSORIA PÚBLICA DO ESTADO DE GOIÁS";DPE-GO;69600.0;0.0;0.0;0.0;202106
0;151155;0.0;202000016000715;"Aquisição de Agitador de Tubos Vortex; Aparelho microscópio óptico trinocular elétrico e Câmera digital de alta resolução(10.0 MP)";CONTRATO;04724729000161;-1000000000;"Não se aplica";"MAXLAB PRODUTOS PARA DIAGNOST E PESQUISAS LTDA - EPP";2021;008;2022-06-16T00:00:00.000-03:00;2021-06-17T00:00:00.000-03:00;"SECRETARIA DE ESTADO DA SEGURANÇA PÚBLICA";SSP;47696.950000000004;0.0;0.0;0.0;202106
